Mã đơn hàng,Ngày đặt hàng,Khu vực,Thành phố,Kênh bán hàng,Nhóm sản phẩm,Tên sản phẩm,Đơn giá (VNĐ),Số lượng,Doanh thu (VNĐ),Giảm giá (%),Thành tiền (VNĐ),Phí vận chuyển (VNĐ),Phương thức thanh toán,Giới tính KH,Tuổi KH,Đánh giá (sao),Trạng thái,Mã nhân viên
DH000256,2023-04-07,Miền Nam,Đồng Nai,Siêu thị,Văn phòng phẩm,Giấy A4,17000.0,2,34000.0,0.0,34000.0,48000.0,Chuyển khoản,Nữ,30.0,2.0,Hoàn thành,NV035
DH000257,2023-04-10,Tây Nguyên,Gia Lai,Online,Mỹ phẩm,Serum,304000.0,2,608000.0,0.0,608000.0,,Tiền mặt,Nữ,,4.0,Hoàn thành,NV005
DH000258,2024-11-05,Miền Nam,TP.HCM,Cửa hàng,Điện tử,Loa bluetooth,2629000.0,5,13145000.0,10.0,11830000.0,0.0,Chuyển khoản,Nữ,22.0,,Đang giao,NV017
DH000259,2024-03-17,Miền Nam,Cần Thơ,Siêu thị,Mỹ phẩm,Sữa rửa mặt,63000.0,3,189000.0,15.0,161000.0,144000.0,COD,Nữ,33.0,5.0,Hoàn thành,NV026
DH000260,2023-12-29,Miền Bắc,Quảng Ninh,Siêu thị,Gia dụng,Máy xay sinh tố,622000.0,2,1244000.0,0.0,1244000.0,41000.0,Tiền mặt,Nữ,28.0,4.0,Hoàn thành,NV027
DH000261,2024-03-09,Miền Nam,Đồng Nai,Đại lý,Gia dụng,Bàn ủi,385000.0,3,1155000.0,30.0,808000.0,27000.0,Tiền mặt,Nữ,49.0,5.0,Đã hủy,NV009
DH000262,2024-02-25,Tây Nguyên,Đắk Lắk,Online,Mỹ phẩm,Nước hoa,119000.0,5,595000.0,50.0,298000.0,57000.0,Thẻ tín dụng,,49.0,4.0,Hoàn thành,NV004
DH000263,2024-04-23,Miền Bắc,Quảng Ninh,Siêu thị,Thực phẩm,Cà phê,51000.0,1,51000.0,0.0,51000.0,59000.0,Ví điện tử,Nam,27.0,4.0,Hoàn thành,NV026
DH000264,2023-02-25,Miền Nam,Bình Dương,Siêu thị,Thực phẩm,Gạo ST25,28000.0,5,140000.0,0.0,140000.0,124000.0,Ví điện tử,Nữ,32.0,5.0,Hoàn thành,NV034
DH000265,2024-11-20,Miền Nam,Bình Dương,Cửa hàng,Gia dụng,Máy xay sinh tố,226000.0,2,452000.0,0.0,452000.0,119000.0,Chuyển khoản,Nữ,28.0,3.0,Đã hủy,NV034
DH000266,2024-10-31,Miền Nam,Đồng Nai,Đại lý,Thời trang,Túi xách,37000.0,4,148000.0,0.0,148000.0,40000.0,Ví điện tử,Nam,37.0,3.0,Hoàn thành,NV031
DH000267,2024-10-23,Miền Nam,Bình Dương,Siêu thị,Điện tử,Điện thoại,16278000.0,7,113946000.0,0.0,113946000.0,0.0,Thẻ tín dụng,Nữ,41.0,4.0,Hoàn thành,NV015
DH000268,2023-04-11,Miền Nam,Cần Thơ,Cửa hàng,Thực phẩm,Nước mắm,70000.0,7,490000.0,0.0,490000.0,63000.0,Ví điện tử,Nữ,28.0,5.0,Hoàn thành,NV016
DH000269,2023-03-04,Miền Trung,Nghệ An,Siêu thị,Thời trang,Đồng hồ,273000.0,4,1092000.0,0.0,1092000.0,148000.0,Thẻ tín dụng,Nữ,30.0,4.0,Đang giao,NV031
DH000270,2024-02-17,Miền Bắc,Quảng Ninh,Siêu thị,Điện tử,Tai nghe,898000.0,5,4490000.0,0.0,4490000.0,0.0,Tiền mặt,Nữ,49.0,4.0,Đã hủy,NV048
DH000271,2023-12-14,Miền Nam,Cần Thơ,Siêu thị,Điện tử,Điện thoại,63000.0,5,315000.0,0.0,315000.0,52000.0,Chuyển khoản,Nam,,4.0,Hoàn thành,NV044
DH000272,2023-04-22,Miền Nam,Đồng Nai,Cửa hàng,Thực phẩm,Nước mắm,32000.0,5,160000.0,5.0,152000.0,76000.0,Ví điện tử,Nữ,25.0,5.0,Hoàn thành,NV033
DH000273,2023-09-12,Miền Nam,Bình Dương,Online,Thời trang,Áo thun,532000.0,3,1596000.0,0.0,1596000.0,129000.0,Ví điện tử,Nữ,39.0,5.0,Hoàn thành,NV032
DH000274,2023-07-16,Tây Nguyên,Đắk Lắk,Siêu thị,Gia dụng,Nồi cơm điện,967000.0,8,7736000.0,0.0,7736000.0,0.0,Tiền mặt,Nam,27.0,5.0,Hoàn thành,NV045
DH000275,2023-07-14,Miền Nam,Cần Thơ,Siêu thị,Thời trang,Giày thể thao,502000.0,3,1506000.0,0.0,1506000.0,76000.0,Chuyển khoản,Nữ,31.0,4.0,Đã hủy,NV010
DH000276,2024-07-03,Miền Nam,TP.HCM,Online,Thực phẩm,Bánh tráng,55000.0,5,275000.0,0.0,275000.0,41000.0,Ví điện tử,Nữ,34.0,4.0,Hoàn thành,NV029
DH000277,2024-04-04,Miền Nam,Đồng Nai,Siêu thị,Thực phẩm,Gạo ST25,109000.0,3,327000.0,25.0,245000.0,82000.0,Ví điện tử,Nữ,30.0,5.0,Hoàn thành,NV050
DH000278,2023-05-24,Miền Nam,TP.HCM,Đại lý,Gia dụng,Nồi cơm điện,397000.0,6,2382000.0,0.0,2382000.0,0.0,Thẻ tín dụng,Nam,45.0,5.0,Hoàn thành,NV002
DH000279,2024-03-08,Miền Nam,TP.HCM,Siêu thị,Thời trang,Áo thun,715000.0,3,2145000.0,0.0,2145000.0,0.0,Tiền mặt,Nam,43.0,,Hoàn thành,NV024
DH000280,2023-07-07,Miền Nam,Cần Thơ,Đại lý,Văn phòng phẩm,Bìa hồ sơ,12000.0,5,60000.0,10.0,54000.0,108000.0,Chuyển khoản,Nam,38.0,3.0,Hoàn thành,NV024
DH000281,2023-10-13,Miền Nam,Đồng Nai,Online,Văn phòng phẩm,Kẹp giấy,10000.0,4,40000.0,0.0,40000.0,63000.0,Thẻ tín dụng,Nữ,30.0,5.0,Đang giao,NV009
DH000282,2024-04-18,Miền Trung,Khánh Hòa,Cửa hàng,Mỹ phẩm,Kem chống nắng,81000.0,3,243000.0,15.0,207000.0,87000.0,Ví điện tử,Nam,29.0,2.0,Hoàn thành,NV038
DH000283,2023-09-13,Miền Trung,Khánh Hòa,Online,Văn phòng phẩm,Bìa hồ sơ,9000.0,5,45000.0,5.0,43000.0,90000.0,Thẻ tín dụng,Nam,40.0,5.0,Hoàn thành,NV033
DH000284,2023-03-19,Miền Bắc,Hà Nội,Siêu thị,Thực phẩm,Cà phê,74000.0,4,296000.0,0.0,296000.0,,Chuyển khoản,Nam,35.0,4.0,Hoàn thành,NV005
DH000285,2024-03-29,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Nước mắm,32000.0,1,32000.0,0.0,32000.0,119000.0,Thẻ tín dụng,Nam,46.0,5.0,Hoàn thành,NV011
DH000286,2024-07-17,Miền Bắc,Hà Nội,Cửa hàng,Gia dụng,Nồi cơm điện,243000.0,4,972000.0,0.0,972000.0,112000.0,Tiền mặt,Nữ,,3.0,Đang giao,NV011
DH000287,2023-04-11,Miền Trung,Khánh Hòa,Siêu thị,Gia dụng,Nồi cơm điện,824000.0,5,4120000.0,0.0,4120000.0,0.0,Ví điện tử,Nữ,36.0,5.0,Hoàn thành,NV045
DH000288,2023-02-21,Miền Nam,TP.HCM,Cửa hàng,Mỹ phẩm,Son môi,269000.0,5,1345000.0,5.0,1278000.0,125000.0,Ví điện tử,Nữ,33.0,5.0,Hoàn thành,NV038
DH000289,2024-10-29,Miền Bắc,Quảng Ninh,Cửa hàng,Gia dụng,Máy xay sinh tố,981000.0,3,2943000.0,15.0,2502000.0,0.0,Tiền mặt,Nữ,,4.0,Đang giao,NV045
DH000290,2024-07-07,Miền Nam,Đồng Nai,Siêu thị,Văn phòng phẩm,Giấy A4,19000.0,5,95000.0,15.0,81000.0,122000.0,Chuyển khoản,Nam,35.0,4.0,Hoàn thành,NV041
DH000291,2023-01-16,Miền Bắc,Quảng Ninh,Online,Thời trang,Áo thun,164000.0,7,1148000.0,20.0,918000.0,63000.0,Ví điện tử,Nam,37.0,5.0,Hoàn thành,NV013
DH000292,2023-04-06,Miền Bắc,Bắc Ninh,Siêu thị,Mỹ phẩm,Kem chống nắng,214000.0,5,1070000.0,0.0,1070000.0,71000.0,Thẻ tín dụng,Nữ,29.0,4.0,Đã hủy,NV033
DH000293,2023-08-31,Miền Nam,Cần Thơ,Siêu thị,Gia dụng,Bàn ủi,546000.0,3,1638000.0,10.0,1474000.0,137000.0,Chuyển khoản,Nam,24.0,5.0,Đã hủy,NV004
DH000294,2023-06-20,Miền Trung,Đà Nẵng,Online,Gia dụng,Máy xay sinh tố,263000.0,6,1578000.0,15.0,1341000.0,106000.0,Tiền mặt,Nữ,26.0,4.0,Đang giao,NV035
DH000295,2024-02-21,Miền Bắc,Hà Nội,Đại lý,Thời trang,Túi xách,124000.0,4,496000.0,0.0,496000.0,49000.0,Ví điện tử,Nữ,45.0,4.0,Hoàn thành,NV006
DH000296,2024-05-12,Miền Nam,Đồng Nai,Siêu thị,Mỹ phẩm,Kem chống nắng,108000.0,5,540000.0,0.0,540000.0,105000.0,Thẻ tín dụng,Nữ,33.0,5.0,Đang giao,NV002
DH000297,2024-05-07,Miền Nam,Bình Dương,Cửa hàng,Văn phòng phẩm,Bìa hồ sơ,42000.0,4,168000.0,0.0,168000.0,36000.0,Thẻ tín dụng,Nam,30.0,3.0,Đã hủy,NV041
DH000298,2023-08-07,Miền Bắc,Hải Phòng,Siêu thị,Thời trang,Quần jean,216000.0,5,1080000.0,10.0,972000.0,50000.0,Tiền mặt,Nam,42.0,4.0,Đã hủy,NV003
DH000299,2024-02-15,Miền Nam,Đồng Nai,Siêu thị,Thực phẩm,Cà phê,105000.0,2,210000.0,0.0,210000.0,23000.0,Thẻ tín dụng,Nữ,30.0,5.0,Hoàn thành,NV012
DH000300,2023-03-02,Miền Bắc,Hà Nội,Cửa hàng,Thực phẩm,Gạo ST25,38000.0,6,228000.0,10.0,205000.0,107000.0,Tiền mặt,Nam,33.0,4.0,Hoàn thành,NV045
DH000301,2023-06-18,Miền Bắc,Hải Phòng,Online,Văn phòng phẩm,Bút bi,23000.0,9,207000.0,0.0,207000.0,143000.0,Ví điện tử,Nam,27.0,5.0,Hoàn thành,NV002
DH000302,2024-01-24,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Nước mắm,86000.0,3,258000.0,0.0,258000.0,141000.0,Ví điện tử,Nam,40.0,4.0,Hoàn thành,NV028
DH000303,2023-01-03,Miền Nam,Bình Dương,Đại lý,Thời trang,Áo thun,643000.0,5,3215000.0,10.0,2894000.0,0.0,Chuyển khoản,Nam,27.0,4.0,Hoàn thành,NV044
DH000304,2024-02-04,Miền Nam,Bình Dương,Cửa hàng,Thực phẩm,Nước mắm,63000.0,5,315000.0,0.0,315000.0,,Ví điện tử,Nữ,19.0,5.0,Hoàn thành,NV005
DH000305,2023-09-29,Miền Nam,Cần Thơ,Online,Gia dụng,Ấm siêu tốc,1311000.0,5,6555000.0,0.0,6555000.0,0.0,Chuyển khoản,Nữ,47.0,5.0,Hoàn thành,NV009
DH000306,2024-04-10,Tây Nguyên,Đắk Lắk,Siêu thị,Điện tử,Tai nghe,3149000.0,5,15745000.0,5.0,14958000.0,,Chuyển khoản,Nữ,30.0,4.0,Hoàn thành,NV022
DH000307,2023-10-20,Miền Nam,Bình Dương,Siêu thị,Thực phẩm,Gạo ST25,140000.0,4,560000.0,0.0,560000.0,139000.0,Chuyển khoản,Nam,28.0,3.0,Hoàn thành,NV012
DH000308,2024-03-09,Miền Trung,Huế,Siêu thị,Văn phòng phẩm,Bút bi,7000.0,5,35000.0,20.0,28000.0,110000.0,Thẻ tín dụng,Nam,34.0,5.0,Hoàn thành,NV003
DH000309,2024-12-14,Miền Nam,Cần Thơ,Siêu thị,Mỹ phẩm,Nước hoa,274000.0,4,1096000.0,0.0,1096000.0,39000.0,Ví điện tử,Nữ,18.0,3.0,Đang giao,NV005
DH000310,2024-07-23,Miền Bắc,Bắc Ninh,Siêu thị,Điện tử,Tai nghe,2810000.0,3,8430000.0,10.0,7587000.0,0.0,Thẻ tín dụng,Nữ,43.0,3.0,Hoàn thành,NV049
DH000311,2024-11-08,Miền Trung,Nghệ An,Cửa hàng,Văn phòng phẩm,Bút bi,9000.0,2,18000.0,0.0,18000.0,100000.0,Ví điện tử,Nữ,23.0,4.0,Hoàn thành,NV013
DH000312,2024-05-13,Miền Bắc,Hà Nội,Siêu thị,Gia dụng,Ấm siêu tốc,750000.0,1,750000.0,10.0,675000.0,51000.0,COD,Nữ,28.0,5.0,Hoàn thành,NV031
DH000313,2023-06-08,Miền Bắc,Quảng Ninh,Siêu thị,Điện tử,Loa bluetooth,335000.0,3,1005000.0,0.0,1005000.0,130000.0,Chuyển khoản,Nam,31.0,5.0,Hoàn thành,NV003
DH000314,2023-07-14,Tây Nguyên,Lâm Đồng,,Điện tử,Tai nghe,912000.0,5,4560000.0,15.0,3876000.0,0.0,Ví điện tử,Nam,30.0,5.0,Hoàn thành,NV018
DH000315,2023-10-31,Miền Nam,Cần Thơ,Siêu thị,Điện tử,Loa bluetooth,182000.0,2,364000.0,10.0,328000.0,91000.0,Chuyển khoản,Nữ,32.0,5.0,Trả hàng,NV016
DH000316,2023-08-11,Miền Nam,TP.HCM,Đại lý,Mỹ phẩm,Son môi,813000.0,2,1626000.0,0.0,1626000.0,135000.0,COD,Nữ,42.0,4.0,Đang giao,NV002
DH000317,2023-03-01,Miền Trung,Huế,Cửa hàng,Điện tử,Tai nghe,1515000.0,2,3030000.0,0.0,3030000.0,0.0,Tiền mặt,Nữ,47.0,5.0,Hoàn thành,NV011
DH000318,2024-08-16,Miền Bắc,Bắc Ninh,Cửa hàng,Thời trang,Quần jean,1698000.0,4,6792000.0,10.0,6113000.0,0.0,Ví điện tử,Nữ,50.0,5.0,Hoàn thành,NV024
DH000319,2024-07-09,Miền Bắc,Hà Nội,Cửa hàng,Gia dụng,Máy xay sinh tố,877000.0,2,1754000.0,0.0,1754000.0,32000.0,Chuyển khoản,Nữ,31.0,5.0,Hoàn thành,NV029
DH000320,2023-03-04,Miền Bắc,Quảng Ninh,Đại lý,Thực phẩm,Bánh tráng,65000.0,6,390000.0,5.0,370000.0,88000.0,Tiền mặt,Nam,31.0,4.0,Hoàn thành,NV046
DH000321,2023-11-18,Miền Nam,Đồng Nai,Siêu thị,Mỹ phẩm,Serum,118000.0,2,236000.0,20.0,189000.0,138000.0,Ví điện tử,Nam,28.0,4.0,Đã hủy,NV042
DH000322,2023-02-28,Miền Nam,Cần Thơ,,Gia dụng,Quạt điện,240000.0,3,720000.0,10.0,648000.0,97000.0,Chuyển khoản,Nữ,26.0,,Hoàn thành,NV042
DH000323,2023-02-21,Miền Nam,Cần Thơ,Đại lý,Điện tử,Máy tính bảng,3746000.0,5,18730000.0,0.0,18730000.0,0.0,Chuyển khoản,Nữ,27.0,4.0,Hoàn thành,NV007
DH000324,2024-08-21,Miền Bắc,Hải Phòng,Online,Mỹ phẩm,Serum,188000.0,1,188000.0,5.0,179000.0,127000.0,Ví điện tử,Nữ,,5.0,Hoàn thành,NV048
DH000325,2024-05-03,Tây Nguyên,Đắk Lắk,Siêu thị,Thời trang,Đồng hồ,103000.0,6,618000.0,10.0,556000.0,74000.0,Chuyển khoản,Nữ,46.0,4.0,Đã hủy,NV019
DH000326,2024-05-29,Miền Nam,Cần Thơ,Đại lý,Thực phẩm,Bánh tráng,20000.0,3,60000.0,0.0,60000.0,,Chuyển khoản,Nam,18.0,5.0,Hoàn thành,NV017
DH000327,2024-06-27,Miền Nam,TP.HCM,Siêu thị,Gia dụng,Máy xay sinh tố,256000.0,3,768000.0,0.0,768000.0,80000.0,Chuyển khoản,Nữ,48.0,4.0,Đang giao,NV007
DH000328,2023-06-11,Miền Nam,Cần Thơ,,Điện tử,Máy tính bảng,17784000.0,7,124488000.0,10.0,112039000.0,0.0,Ví điện tử,Nam,33.0,5.0,Đã hủy,NV003
DH000329,2023-02-28,Miền Trung,Nghệ An,Đại lý,Văn phòng phẩm,Kẹp giấy,45000.0,5,225000.0,30.0,158000.0,139000.0,COD,Nam,25.0,4.0,Hoàn thành,NV034
DH000330,2024-06-04,Miền Bắc,Hải Phòng,Siêu thị,Thực phẩm,Cà phê,57000.0,4,228000.0,10.0,205000.0,105000.0,Chuyển khoản,Nam,18.0,5.0,Hoàn thành,NV034
DH000331,2023-03-24,Miền Trung,Nghệ An,Đại lý,Điện tử,Loa bluetooth,2391000.0,2,4782000.0,10.0,4304000.0,0.0,Thẻ tín dụng,Nữ,39.0,5.0,Hoàn thành,NV033
DH000332,2023-07-10,Miền Nam,Cần Thơ,Cửa hàng,Văn phòng phẩm,Kẹp giấy,13000.0,4,52000.0,0.0,52000.0,116000.0,Chuyển khoản,Nam,18.0,5.0,Hoàn thành,NV032
DH000333,2023-03-12,Miền Bắc,Hà Nội,Siêu thị,Thực phẩm,Trà xanh,29000.0,3,87000.0,0.0,87000.0,40000.0,Ví điện tử,Nữ,28.0,5.0,Hoàn thành,NV024
DH000334,2024-09-01,Miền Bắc,Quảng Ninh,Đại lý,Gia dụng,Quạt điện,1309000.0,6,7854000.0,0.0,7854000.0,,COD,Nam,43.0,5.0,Hoàn thành,NV047
DH000335,2023-03-11,Miền Bắc,Bắc Ninh,Cửa hàng,Thực phẩm,Gạo ST25,154000.0,2,308000.0,0.0,308000.0,23000.0,Tiền mặt,Nữ,32.0,1.0,Hoàn thành,NV021
DH000336,2024-11-22,Miền Bắc,Hà Nội,Online,Mỹ phẩm,Nước hoa,90000.0,4,360000.0,20.0,288000.0,52000.0,Thẻ tín dụng,Nữ,29.0,4.0,Hoàn thành,NV032
DH000337,2023-08-29,Miền Nam,Đồng Nai,Siêu thị,Điện tử,Điện thoại,1811000.0,5,9055000.0,15.0,7697000.0,0.0,COD,Nữ,34.0,,Hoàn thành,NV027
DH000338,2024-02-18,Miền Nam,TP.HCM,Siêu thị,Thời trang,Đồng hồ,209000.0,4,836000.0,0.0,836000.0,33000.0,Chuyển khoản,Nam,45.0,2.0,Hoàn thành,NV022
DH000339,2023-05-03,Miền Trung,Nghệ An,Online,Thực phẩm,Bánh tráng,39000.0,4,156000.0,5.0,148000.0,92000.0,Chuyển khoản,Nữ,30.0,4.0,Đang giao,NV014
DH000340,2024-08-06,Miền Bắc,Bắc Ninh,Cửa hàng,Điện tử,Laptop,8300000.0,3,24900000.0,0.0,24900000.0,0.0,COD,Nam,36.0,5.0,Hoàn thành,NV014
DH000341,2023-09-10,Miền Trung,Khánh Hòa,Online,Gia dụng,Quạt điện,200000.0,4,800000.0,5.0,760000.0,108000.0,Chuyển khoản,,42.0,4.0,Trả hàng,NV045
DH000342,2024-08-15,Miền Trung,Nghệ An,Siêu thị,Thực phẩm,Cà phê,66000.0,7,462000.0,0.0,462000.0,37000.0,Tiền mặt,Nam,28.0,5.0,Hoàn thành,NV043
DH000343,2024-08-31,Miền Bắc,Hà Nội,Đại lý,Thời trang,Giày thể thao,537000.0,4,2148000.0,0.0,2148000.0,0.0,Ví điện tử,Nam,28.0,5.0,Đang giao,NV011
DH000344,2023-02-10,Miền Trung,Khánh Hòa,Cửa hàng,Điện tử,Loa bluetooth,1686000.0,4,6744000.0,0.0,6744000.0,0.0,Thẻ tín dụng,Nữ,38.0,3.0,Hoàn thành,NV026
DH000345,2024-09-26,Miền Trung,Khánh Hòa,Cửa hàng,Gia dụng,Nồi cơm điện,934000.0,7,6538000.0,20.0,5230000.0,0.0,Tiền mặt,Nam,36.0,5.0,Hoàn thành,NV027
DH000346,2023-03-25,Miền Nam,Bình Dương,Cửa hàng,Mỹ phẩm,Sữa rửa mặt,228000.0,7,1596000.0,0.0,1596000.0,127000.0,Thẻ tín dụng,Nam,48.0,4.0,Đang giao,NV020
DH000347,2024-03-05,Miền Nam,TP.HCM,Online,Thực phẩm,Gạo ST25,104000.0,4,416000.0,0.0,416000.0,30000.0,Ví điện tử,Nam,28.0,,Hoàn thành,NV003
DH000348,2024-11-04,Miền Bắc,Hải Phòng,,Thực phẩm,Gạo ST25,20000.0,4,80000.0,0.0,80000.0,69000.0,Tiền mặt,Nữ,30.0,3.0,Hoàn thành,NV030
DH000349,2024-08-20,Miền Trung,Đà Nẵng,Đại lý,Thời trang,Giày thể thao,227000.0,5,1135000.0,10.0,1022000.0,17000.0,Chuyển khoản,Nam,31.0,4.0,Hoàn thành,NV017
DH000350,2024-08-01,Miền Nam,Bình Dương,Đại lý,Thực phẩm,Trà xanh,48000.0,5,240000.0,5.0,228000.0,118000.0,Thẻ tín dụng,Nam,22.0,5.0,Hoàn thành,NV011
DH000351,2024-06-19,Miền Nam,Đồng Nai,Cửa hàng,Điện tử,Điện thoại,81000.0,3,243000.0,0.0,243000.0,144000.0,Tiền mặt,Nam,31.0,1.0,Hoàn thành,NV006
DH000352,2023-11-20,Miền Nam,Đồng Nai,Đại lý,Thực phẩm,Cà phê,26000.0,1,26000.0,0.0,26000.0,55000.0,COD,Nữ,43.0,5.0,Hoàn thành,NV001
DH000353,2023-09-25,Miền Nam,Bình Dương,Online,Gia dụng,Bàn ủi,283000.0,2,566000.0,0.0,566000.0,56000.0,Thẻ tín dụng,Nữ,25.0,2.0,Hoàn thành,NV012
DH000354,2023-07-29,Miền Bắc,Hà Nội,Đại lý,Văn phòng phẩm,Bìa hồ sơ,24000.0,6,144000.0,0.0,144000.0,92000.0,Thẻ tín dụng,Nữ,38.0,5.0,Hoàn thành,NV049
DH000355,2024-11-16,Miền Bắc,Bắc Ninh,Online,Thực phẩm,Bánh tráng,33000.0,2,66000.0,5.0,63000.0,33000.0,Tiền mặt,Nữ,33.0,2.0,Hoàn thành,NV032
DH000356,2023-11-18,Miền Nam,Cần Thơ,Đại lý,Gia dụng,Quạt điện,282000.0,6,1692000.0,0.0,1692000.0,96000.0,Chuyển khoản,Nam,28.0,4.0,Hoàn thành,NV011
DH000357,2023-09-02,Miền Bắc,Quảng Ninh,Siêu thị,Thực phẩm,Cà phê,82000.0,4,328000.0,0.0,328000.0,89000.0,Tiền mặt,Nam,30.0,5.0,Hoàn thành,NV005
DH000358,2023-09-29,Miền Nam,TP.HCM,Online,Văn phòng phẩm,Sổ tay,7000.0,5,35000.0,0.0,35000.0,69000.0,Ví điện tử,Nữ,30.0,5.0,Hoàn thành,NV038
DH000359,2024-02-10,Tây Nguyên,Gia Lai,Siêu thị,Thực phẩm,Gạo ST25,14000.0,3,42000.0,0.0,42000.0,110000.0,Chuyển khoản,Nữ,33.0,2.0,Hoàn thành,NV008
DH000360,2023-05-15,Miền Nam,TP.HCM,Online,Thời trang,Túi xách,225000.0,5,1125000.0,0.0,1125000.0,88000.0,Chuyển khoản,Nam,34.0,5.0,Hoàn thành,NV019
DH000361,2024-11-18,Miền Trung,Huế,Đại lý,Mỹ phẩm,Son môi,54000.0,9,486000.0,15.0,413000.0,129000.0,Thẻ tín dụng,Nữ,36.0,,Hoàn thành,NV022
DH000362,2024-10-22,Miền Nam,Đồng Nai,Siêu thị,Điện tử,Laptop,368000.0,1,368000.0,0.0,368000.0,113000.0,Ví điện tử,Nữ,48.0,5.0,Đang giao,NV045
DH000363,2023-11-04,Miền Trung,Đà Nẵng,Đại lý,Điện tử,Tai nghe,3980000.0,6,23880000.0,10.0,21492000.0,0.0,Ví điện tử,Nam,18.0,4.0,Hoàn thành,NV035
DH000364,2024-04-13,Miền Nam,Cần Thơ,Online,Điện tử,Máy tính bảng,5722000.0,1,5722000.0,15.0,4864000.0,0.0,Tiền mặt,Nữ,25.0,5.0,Hoàn thành,NV033
DH000365,2023-11-20,Tây Nguyên,Đắk Lắk,Siêu thị,Mỹ phẩm,Son môi,407000.0,5,2035000.0,50.0,1018000.0,19000.0,Chuyển khoản,Nữ,42.0,2.0,Hoàn thành,NV025
DH000366,2023-03-16,Miền Trung,Huế,Cửa hàng,Điện tử,Loa bluetooth,7566000.0,3,22698000.0,0.0,22698000.0,0.0,Tiền mặt,Nữ,43.0,4.0,Trả hàng,NV020
DH000367,2023-01-10,Tây Nguyên,Lâm Đồng,Đại lý,Mỹ phẩm,Sữa rửa mặt,611000.0,6,3666000.0,10.0,3299000.0,0.0,Ví điện tử,Nữ,35.0,4.0,Đã hủy,NV037
DH000368,2024-04-14,Tây Nguyên,Lâm Đồng,Online,Thực phẩm,Trà xanh,14000.0,2,28000.0,0.0,28000.0,135000.0,Chuyển khoản,Nữ,27.0,4.0,Hoàn thành,NV020
DH000369,2024-09-28,Miền Bắc,Hà Nội,Siêu thị,Điện tử,Laptop,3434000.0,2,6868000.0,0.0,6868000.0,0.0,Tiền mặt,Nam,18.0,5.0,Hoàn thành,NV004
DH000370,2024-07-30,Miền Bắc,Hà Nội,Đại lý,Thực phẩm,Nước mắm,36000.0,3,108000.0,0.0,108000.0,65000.0,Chuyển khoản,Nữ,37.0,2.0,Hoàn thành,NV009
DH000371,2023-04-13,Miền Bắc,Hà Nội,Siêu thị,Điện tử,Loa bluetooth,816000.0,5,4080000.0,0.0,4080000.0,0.0,Tiền mặt,Nữ,46.0,2.0,Hoàn thành,NV022
DH000372,2023-03-17,Miền Bắc,Bắc Ninh,Đại lý,Thực phẩm,Gạo ST25,70000.0,2,140000.0,0.0,140000.0,142000.0,Ví điện tử,Nữ,48.0,2.0,Hoàn thành,NV012
DH000373,2024-07-04,Miền Bắc,Bắc Ninh,Đại lý,Gia dụng,Quạt điện,149000.0,3,447000.0,0.0,447000.0,107000.0,Chuyển khoản,Nam,29.0,1.0,Đã hủy,NV019
DH000374,2023-08-07,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Trà xanh,17000.0,6,102000.0,10.0,92000.0,80000.0,Chuyển khoản,Nữ,37.0,4.0,Đã hủy,NV028
DH000375,2024-06-02,Miền Bắc,Quảng Ninh,Siêu thị,Điện tử,Loa bluetooth,4278000.0,6,25668000.0,0.0,25668000.0,,COD,Nữ,35.0,5.0,Đang giao,NV024
DH000376,2023-09-29,Miền Trung,Nghệ An,Siêu thị,Gia dụng,Quạt điện,703000.0,5,3515000.0,0.0,3515000.0,0.0,Tiền mặt,Nam,20.0,5.0,Hoàn thành,NV046
DH000377,2023-05-16,Miền Nam,Cần Thơ,Đại lý,Mỹ phẩm,Kem chống nắng,226000.0,2,452000.0,0.0,452000.0,27000.0,Tiền mặt,Nữ,37.0,4.0,Hoàn thành,NV036
DH000378,2023-12-24,Miền Bắc,Hà Nội,Cửa hàng,Gia dụng,Quạt điện,270000.0,4,1080000.0,0.0,1080000.0,110000.0,Thẻ tín dụng,Nữ,18.0,3.0,Hoàn thành,NV023
DH000379,2023-03-12,Miền Nam,Đồng Nai,Cửa hàng,Mỹ phẩm,Nước hoa,391000.0,5,1955000.0,0.0,1955000.0,24000.0,COD,Nam,32.0,5.0,Hoàn thành,NV032
DH000380,2023-09-08,Miền Bắc,Hải Phòng,Cửa hàng,Thời trang,Quần jean,517000.0,3,1551000.0,0.0,1551000.0,22000.0,COD,Nữ,43.0,5.0,Đang giao,NV045
DH000381,2024-01-14,Miền Bắc,Quảng Ninh,Online,Mỹ phẩm,Serum,216000.0,3,648000.0,5.0,616000.0,112000.0,Thẻ tín dụng,Nam,45.0,5.0,Hoàn thành,NV037
DH000382,2023-10-19,Miền Nam,TP.HCM,Cửa hàng,Thời trang,Đồng hồ,117000.0,3,351000.0,0.0,351000.0,115000.0,Ví điện tử,Nam,33.0,5.0,Hoàn thành,NV012
DH000383,2023-06-11,Miền Nam,Bình Dương,Siêu thị,Điện tử,Laptop,1201000.0,3,3603000.0,0.0,3603000.0,0.0,Chuyển khoản,Nữ,54.0,5.0,Hoàn thành,NV019
